rowan_williams	london
rowan_williams	canterbury
jean_chrétien	quebec
president_of_the_peoples_republic_of_china	zhongnanhai
john_sergeant_journalist	london
john_sergeant_journalist	ealing
john_manley	ottawa
gilles_duceppe	quebec
gilles_duceppe	canada
gilles_duceppe	montreal
roger_federer	wollerau
james_packer	bellevue_hill_new_south_wales
mike_huckabee	north_little_rock_arkansas
alan_sokal	nicaragua
john_r_horner	bozeman_montana
peter_short_clergyman	fredericton
peter_short_clergyman	new_brunswick
lindsey_graham	seneca_south_carolina
john_ensign	nevada
john_ensign	las_vegas_nevada
terry_everett	enterprise_alabama
tom_allen	portland_maine
w_pete_cunningham	charlotte_north_carolina
robin_morgan	new_york_city
robin_morgan	new_york
jean_lapierre	montreal
donald_c_macdonald	ontario
donald_c_macdonald	toronto
john_kline_politician	lakeville_minnesota
emperor_of_austria	vienna
julia_gillard	altona_victoria
lucienne_robillard	quebec
lucienne_robillard	montreal
mayor_of_montreal	montreal_city_hall
henry_dworshak	burley_idaho
bob_menendez	hoboken_new_jersey
peter_atkins	oxford
richard_burr	winstonsalem_north_carolina
guillermo_vilas	buenos_aires
robert_kagan	virginia
tom_coburn	muskogee_oklahoma
john_blake_rice	chicago
john_blake_rice	illinois
fran_fine	new_york
fran_fine	manhattan
fran_fine	queens
dale_e_wolf	delaware
dale_e_wolf	wilmington_delaware
george_s_nixon	winnemucca_nevada
michael_kay_sports_broadcaster	new_york
john_hopkins_lawyer	united_kingdom
john_hopkins_lawyer	cambridge
lieutenant_governor_of_new_brunswick	fredericton
lieutenant_governor_of_new_brunswick	old_government_house_fredericton
ruby_dhalla	ontario
ruby_dhalla	mississauga
brian_masse	windsor_ontario
jake_siewert	new_york_city
jake_siewert	new_york
john_c_hull	canada
andré_rouvoet	netherlands
andré_rouvoet	woerden
bill_saunderson	ontario
bill_saunderson	toronto
choi_kyungju	southlake_texas
ian_wilmut	edinburgh
ian_wilmut	scotland
marc_rosset	monaco
andrew_breitbart	westwood_california
james_p_pope	boise_idaho
peggy_kirk_bell	southern_pines_north_carolina
thomas_levet	palm_beach_gardens_florida
knut_arild_hareide	oslo
mike_beebe	arkansas
mike_beebe	searcy_arkansas
paul_crête	quebec
paul_crête	rivièreduloup
gustav_ritter_von_kahr	bavaria
wendy_turnbull	boca_raton_florida
wendy_turnbull	sandgate_queensland
jonathan_tasini	new_york_city
jonathan_tasini	new_york
william_bowrey	victoria_australia
michael_gazzaniga	santa_barbara_california
jim_risch	boise_idaho
eilat_mazar	israel
daniel_rodney	delaware
daniel_rodney	lewes_delaware
gisela_dulko	buenos_aires
agustín_calleri	buenos_aires
harold_bernard_st_john	ilaro_court
richard_r_kenney	delaware
richard_r_kenney	dover_delaware
james_hendler	usa
christian_bergmann	rostock
christian_bergmann	göttingen
mar_eshai_shimun_xxiii	chicago
mar_eshai_shimun_xxiii	illinois
odoardo_di_santo	north_york_ontario
yan_zi	sichuan
yan_zi	chengdu
joyce_wethered	knightshayes_court
gunning_bedford	lt_SrDelawaregt
gunning_bedford	lt_SrNew_Castle_Delawaregt
wong_yan_lung	hong_kong
joseph_haslet	delaware
joseph_haslet	sussex_county_delaware
yoshie_onda	canada
yoshie_onda	toronto
james_j_greco	cheshire_connecticut
thomas_andrew_knight	herefordshire
jose_de_venecia	lt_JrPangasinangt
gerry_lopez	bend_oregon
eli_m_saulsbury	delaware
eli_m_saulsbury	dover_delaware
barbara_fusarpoli	italy
barbara_fusarpoli	sesto_san_giovanni
christine_quinn	chelsea_manhattan
jarrett_barrios	cambridge_massachusetts
ken_cheuvront	phoenix_arizona
beth_moore	texas
josé_acasuso	buenos_aires
satoshi_kataoka	japan
satoshi_kataoka	tokyo
brendan_oconnor_journalist	dublin
melissa_gregory	newark_delaware
stefan_koubek	vienna
harvey_l_wollman	frankfort_south_dakota
william_peters_hepburn	clarinda_iowa
arlene_blum	berkeley_california
björn_phau	weilerswist
li_jie_go_player	virginia
taiki_seto	japan
taiki_seto	osaka
geoffrey_rowell	worth_west_sussex
martin_n_johnson	fargo_north_dakota
carlos_berlocq	buenos_aires
john_m_haines	boise_idaho
denis_pelli	new_york
mark_inglis	new_zealand
mark_inglis	hanmer_springs
kathleen_falk	madison_wisconsin
mark_foster_golfer	england
mark_foster_golfer	worksop
chris_hanell	scottsdale_arizona
jerry_anderson_golfer	canada
jerry_anderson_golfer	ontario
pip_elson	gloucestershire
gavan_levenson	south_africa
guy_hunt_golfer	dorset
guy_hunt_golfer	bournemouth
dennis_keene	wilder_kentucky
andrew_halcro	alaska
janne_holmén	uppsala
janne_holmén	sweden
pedro_sauer	virginia
pedro_sauer	leesburg_virginia
paul_hanley_tennis	sutton_london
jagapati_babu	andhra_pradesh
jagapati_babu	india
margaret_sheffield	new_york
margaret_sheffield	manhattan
savannah_guthrie	washington_dc
murphy_jensen	atlanta
brian_moran	alexandria_virginia
jan_herman_linge	norway
yasuro_kikuchi	japan
eric_schneiderman	new_york_city
eric_schneiderman	manhattan
douglas_devananda	sri_lanka
douglas_devananda	colombo
srikumar_banerjee	india
srikumar_banerjee	new_delhi
william_sorrell	burlington_vermont
hans_von_pechmann	germany
